Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-071,2000,3,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,0,0,0,0,0,0,0,0,0,0,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-315,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,0,8,0,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-030,1999,19,13,"1,245",13.8,0,3,3,0,0,0,4,0,1.2,1.2,0.8,1.9,8,46,6,0,0.22,0.22,0,0.22,0.08,0.06,0.14,0.08,0.14,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-173,1997,15,11,"1,086",12.1,1,1,2,1,0,0,2,0,0.9,0.9,0.2,1.1,5,30,1,0.08,0.08,0.17,0.08,0.17,0.07,0.02,0.09,0.07,0.09,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-074,2002,20,6,625,6.9,2,1,3,2,0,0,0,0,1.5,1.5,1.1,2.6,23,10,81,0.29,0.14,0.43,0.29,0.43,0.22,0.16,0.37,0.22,0.37,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-272,1997,7,7,600,6.7,0,0,0,0,0,0,2,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-169,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,2,0,1,0,0,0,0,0,0.29,0.5,0.79,0.29,0.79,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-159,1996,29,29,"2,531",28.1,2,1,3,2,0,0,2,0,0.6,0.6,0.7,1.3,54,91,52,0.07,0.04,0.11,0.07,0.11,0.02,0.03,0.05,0.02,0.05,Matches
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-283,2001,28,28,"2,381",26.5,3,5,8,3,0,0,6,1,1.9,1.9,2.6,4.5,63,91,138,0.11,0.19,0.3,0.11,0.3,0.07,0.1,0.17,0.07,0.17,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,26-333,1998,16,15,"1,205",13.4,0,0,0,0,0,0,4,0,0.7,0.7,1.2,1.9,25,48,38,0,0,0,0,0,0.05,0.09,0.14,0.05,0.14,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-240,1995,20,20,"1,707",19,0,0,0,0,0,0,3,0,0.7,0.7,0.4,1.1,38,135,6,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,Matches
